location_id,zone_name,borough,longitude,latitude
160,Middle Village,Queens,-73.880051,40.718337
161,Midtown Center,Manhattan,-73.977698,40.758028
162,Midtown East,Manhattan,-73.972356,40.756688
163,Midtown North,Manhattan,-73.977569,40.764421
164,Midtown South,Manhattan,-73.985156,40.748575
165,Midwood,Brooklyn,-73.956824,40.620924
166,Morningside Heights,Manhattan,-73.961764,40.809457
167,Morrisania/Melrose,Bronx,-73.902352,40.827513
168,Mott Haven/Port Morris,Bronx,-73.916822,40.807347
169,Mount Hope,Bronx,-73.905122,40.849058
170,Murray Hill,Manhattan,-73.978492,40.747746
171,Murray Hill-Queens,Queens,-73.809545,40.768352
172,New Dorp/Midland Beach,Staten Island,-74.105019,40.571769
173,North Corona,Queens,-73.863038,40.752579
174,Norwood,Bronx,-73.879022,40.877137
175,Oakland Gardens,Queens,-73.754622,40.742671
176,Oakwood,Staten Island,-74.122583,40.561994
177,Ocean Hill,Brooklyn,-73.913632,40.676644
178,Ocean Parkway South,Brooklyn,-73.970326,40.617315
179,Old Astoria,Queens,-73.928333,40.771570
180,Ozone Park,Queens,-73.847043,40.675595
181,Park Slope,Brooklyn,-73.981414,40.670374
182,Parkchester,Bronx,-73.857987,40.837749
183,Pelham Bay,Bronx,-73.831582,40.849172
184,Pelham Bay Park,Bronx,-73.807858,40.868275
185,Pelham Parkway,Bronx,-73.854394,40.854405
186,Penn Station/Madison Sq West,Manhattan,-73.992438,40.748497
187,Port Richmond,Staten Island,-74.140789,40.628166
188,Prospect-Lefferts Gardens,Brooklyn,-73.947442,40.658745
189,Prospect Heights,Brooklyn,-73.967587,40.677635
190,Prospect Park,Brooklyn,-73.968914,40.661622
191,Queens Village,Queens,-73.741532,40.715454
192,Queensboro Hill,Queens,-73.815229,40.743752
193,Queensbridge/Ravenswood,Queens,-73.941997,40.760313
194,Randalls Island,Manhattan,-73.924597,40.791000
195,Red Hook,Brooklyn,-74.009178,40.675549
196,Rego Park,Queens,-73.863338,40.726155
197,Richmond Hill,Queens,-73.830924,40.694542
198,Ridgewood,Queens,-73.901709,40.706527
199,Rikers Island,Bronx,-73.882658,40.791133
200,Riverdale/North Riverdale/Fieldston,Bronx,-73.906988,40.899528
201,Rockaway Park,Queens,-73.843454,40.577983
202,Roosevelt Island,Manhattan,-73.949953,40.761899
203,Rosedale,Queens,-73.739474,40.657852
204,Rossville/Woodrow,Staten Island,-74.207826,40.540333
205,Saint Albans,Queens,-73.763146,40.691201
206,Saint George/New Brighton,Staten Island,-74.102314,40.638973
207,Saint Michaels Cemetery/Woodside,Queens,-73.899353,40.763986
208,Schuylerville/Edgewater Park,Bronx,-73.823539,40.823318
209,Seaport,Manhattan,-74.003664,40.709073
210,Sheepshead Bay,Brooklyn,-73.940507,40.592024
211,SoHo,Manhattan,-74.001538,40.723888
212,Soundview/Bruckner,Bronx,-73.869680,40.827902
213,Soundview/Castle Hill,Bronx,-73.858135,40.817859
214,South Beach/Dongan Hills,Staten Island,-74.085512,40.586786
215,South Jamaica,Queens,-73.790965,40.694428
216,South Ozone Park,Queens,-73.819459,40.676154
217,South Williamsburg,Brooklyn,-73.958597,40.703916
218,Springfield Gardens North,Queens,-73.773036,40.672090
219,Springfield Gardens South,Queens,-73.764505,40.662186
220,Spuyten Duyvil/Kingsbridge,Bronx,-73.910665,40.882403
221,Stapleton,Staten Island,-74.073703,40.618768
222,Starrett City,Brooklyn,-73.882413,40.647527
223,Steinway,Queens,-73.905407,40.777427
224,Stuy Town/Peter Cooper Village,Manhattan,-73.976598,40.731821
225,Stuyvesant Heights,Brooklyn,-73.931888,40.688168
226,Sunnyside,Queens,-73.924673,40.737698
227,Sunset Park East,Brooklyn,-74.004653,40.641886
228,Sunset Park West,Brooklyn,-74.011273,40.652354
229,Sutton Place/Turtle Bay North,Manhattan,-73.965146,40.756729
230,Times Sq/Theatre District,Manhattan,-73.984197,40.759818
231,TriBeCa/Civic Center,Manhattan,-74.007880,40.717773
232,Two Bridges/Seward Park,Manhattan,-73.983025,40.714732
233,UN/Turtle Bay South,Manhattan,-73.970443,40.749914
234,Union Sq,Manhattan,-73.990458,40.740337
235,University Heights/Morris Heights,Bronx,-73.915976,40.852521
236,Upper East Side North,Manhattan,-73.957012,40.780436
237,Upper East Side South,Manhattan,-73.965635,40.768615
238,Upper West Side North,Manhattan,-73.973049,40.791705
239,Upper West Side South,Manhattan,-73.978632,40.783961
240,Van Cortlandt Park,Bronx,-73.881977,40.894599
241,Van Cortlandt Village,Bronx,-73.895620,40.876512
242,Van Nest/Morris Park,Bronx,-73.850671,40.846783
243,Washington Heights North,Manhattan,-73.932832,40.857108
244,Washington Heights South,Manhattan,-73.941399,40.841708
245,West Brighton,Staten Island,-74.102860,40.630049
246,West Chelsea/Hudson Yards,Manhattan,-74.004016,40.753309
247,West Concourse,Bronx,-73.924410,40.828987
248,West Farms/Bronx River,Bronx,-73.872290,40.834165
249,West Village,Manhattan,-74.002875,40.734576
250,Westchester Village/Unionport,Bronx,-73.848641,40.832101
251,Westerleigh,Staten Island,-74.125348,40.616880
252,Whitestone,Queens,-73.815657,40.788193
253,Willets Point,Queens,-73.841244,40.760631
254,Williamsbridge/Olinville,Bronx,-73.858949,40.882157
255,Williamsburg (North Side),Brooklyn,-73.957418,40.718804
256,Williamsburg (South Side),Brooklyn,-73.959905,40.710880
257,Windsor Terrace,Brooklyn,-73.977982,40.653612
258,Woodhaven,Queens,-73.855767,40.688721
259,Woodlawn/Wakefield,Bronx,-73.852215,40.897932
260,Woodside,Queens,-73.906307,40.744234
261,World Trade Center,Manhattan,-74.013023,40.709139
262,Yorkville East,Manhattan,-73.946510,40.775932
263,Yorkville West,Manhattan,-73.951010,40.778766
